Date,Open,High,Low,Close
6/1/18 10:00,7415.9902,7422.9492,7415.9902,7420.3164
6/1/18 9:30,7417.6191,7424.748,7408.1641,7415.9902
6/1/18 9:00,7408.1494,7419.2598,7394.1992,7417.6191
6/1/18 8:30,7386.46,7415.8711,7375.5039,7408.1494
6/1/18 8:00,7352.6729,7414.918,7350.3486,7386.46
6/1/18 7:30,7557.377,7561.3379,7352.6729,7352.6729
6/1/18 7:00,7545.0664,7561.7295,7544.9395,7557.377
6/1/18 6:30,7543.8027,7550.4561,7530.8145,7545.0664
6/1/18 6:00,7534.6357,7547.4043,7523.7832,7543.8027
6/1/18 5:30,7551.6494,7551.6738,7528.6914,7534.6357
6/1/18 5:00,7593.5,7593.5,7529.8438,7551.6494
6/1/18 4:30,7578.9941,7593.6641,7569.9717,7593.5
6/1/18 4:00,7573.375,7582.3057,7556.7422,7578.9941
6/1/18 3:30,7595.082,7601.3379,7565.3223,7572.29
6/1/18 3:00,7543.8086,7599.9863,7543.8086,7595.082
6/1/18 2:30,7535.0771,7558.2168,7531.7021,7543.8086
6/1/18 2:00,7491.6934,7570.3496,7486.6738,7535.0771
6/1/18 1:30,7490.2529,7493.2715,7483.502,7491.6934
6/1/18 1:00,7487.9961,7497.248,7484.9961,7490.2529
6/1/18 0:30,7484.0791,7491.9717,7476.0156,7487.9961
6/1/18 0:00,7490.7354,7491.4941,7466.5703,7484.0791
5/31/18 23:30,7483.6143,7503.0098,7482.0244,7490.9404
5/31/18 23:00,7490.6836,7490.6836,7457.6094,7483.6143
5/31/18 22:30,7504.3818,7511.6484,7488.6348,7490.6836
5/31/18 22:00,7487.5996,7521.1445,7485.083,7504.3818
5/31/18 21:30,7499.2705,7503.543,7486.5684,7487.5996
5/31/18 21:00,7505.5508,7505.5508,7476.7373,7499.2705
5/31/18 20:30,7509.5146,7512.5078,7492.1982,7505.5508
5/31/18 20:00,7488.8369,7524.8301,7484.334,7509.5146
5/31/18 19:30,7473.8223,7490.2734,7466.3447,7488.8369
5/31/18 19:00,7445.791,7481.6348,7443.3496,7473.8223
5/31/18 18:30,7451.4834,7458.584,7427.6357,7445.791
5/31/18 18:00,7547.1348,7549.8809,7427.0527,7451.4834
5/31/18 17:30,7557.0195,7562.7344,7543.6836,7547.1348
5/31/18 17:00,7538.2832,7561.8691,7531.7148,7557.0195
5/31/18 16:30,7555.4932,7557.9004,7533.9805,7537.9561
5/31/18 16:00,7538.625,7559.6787,7524.7188,7555.4932
5/31/18 15:30,7542.2256,7557.2344,7536.1484,7538.625
5/31/18 15:00,7549.9805,7561.7969,7533.2539,7542.2256
5/31/18 14:30,7559.375,7566.8018,7550.3457,7550.75
5/31/18 14:00,7576.623,7591.5479,7557.7822,7559.375
5/31/18 13:30,7566.3555,7598.4365,7553.626,7576.6191
5/31/18 13:00,7545.4063,7568.332,7541.7695,7566.3555
5/31/18 12:30,7540.0371,7556.9365,7532.4492,7545.2139
5/31/18 12:00,7553.7158,7554.1133,7529.1055,7541.0625
5/31/18 11:30,7544.8271,7557.1475,7538.7881,7554.0889
5/31/18 11:00,7545.3701,7583.3203,7542.2666,7544.8271
5/31/18 10:30,7546.002,7556.1641,7531.0322,7545.3701
5/31/18 10:00,7538.0488,7547.3262,7526.3193,7545.7031
5/31/18 9:30,7526.25,7543.2422,7520.4131,7537.6992
5/31/18 9:00,7543.7148,7544.1396,7503.6855,7526.25
