Date,Open,High,Low,Close,Open Interest,SMAVG (15)
2/23/2018 0:00,9975,10360,9590,10319,168,945
2/22/2018 0:00,10505,10900,9710,10085,243,1001
2/21/2018 0:00,11240,11340,10220,10370,459,1043
2/20/2018 0:00,10350,11760,10315,11735,594,1070
2/19/2018 0:00,,,,,877,1087
2/16/2018 0:00,10090,10265,9675,10020,877,1087
2/15/2018 0:00,9400,10180,9375,10090,940,1083
2/14/2018 0:00,8505,9390,8505,9290,1159,1076
2/13/2018 0:00,8925,9000,8335,8700,1104,1050
2/12/2018 0:00,8380,8920,8075,8860,1170,1023
2/9/2018 0:00,8165,8770,7715,8610,1277,985
2/8/2018 0:00,7790,8690,7645,8325,1364,940
2/7/2018 0:00,7620,8540,7235,8245,1402,887
2/6/2018 0:00,6850,7920,5970,7550,1315,826
2/5/2018 0:00,8305,8315,6870,7260,1228,762
2/2/2018 0:00,8890,9075,7750,8585,1010,702
2/1/2018 0:00,10020,10175,8480,9090,873,651
1/31/2018 0:00,10000,10275,9500,10000,866,607
1/30/2018 0:00,11120,11245,9720,9940,849,560
1/29/2018 0:00,11510,11775,10970,11170,867,510
1/26/2018 0:00,11060,11620,10250,10965,820,458
1/25/2018 0:00,11450,11660,10830,11200,830,410
1/24/2018 0:00,10920,11450,10490,11155,768,360
1/23/2018 0:00,10575,11405,9950,11130,709,313
1/22/2018 0:00,11360,11780,10100,10390,590,270
1/19/2018 0:00,11500,12105,11060,11430,613,233
1/18/2018 0:00,11235,12110,10850,11870,558,195
1/17/2018 0:00,11140,11825,9300,11010,496,160
1/16/2018 0:00,13755,14145,11165,11210,356,130
1/12/2018 0:00,13000,14105,13000,13970,323,109
1/11/2018 0:00,14680,14825,12815,13390,251,90
1/10/2018 0:00,14500,14725,13530,14460,212,75
1/9/2018 0:00,14940,15310,14425,14770,160,61
1/8/2018 0:00,16335,16335,13940,14945,97,51
1/5/2018 0:00,15190,16840,15015,16580,94,
1/4/2018 0:00,15265,15410,14480,14955,90,
1/3/2018 0:00,14740,15320,14690,15030,80,
1/2/2018 0:00,13430,15265,13430,14935,71,
12/29/2017 0:00,14105,15020,14090,14490,55,
12/28/2017 0:00,15390,15390,13490,13865,46,
12/27/2017 0:00,15690,16620,14685,14805,39,
12/26/2017 0:00,15210,16130,14975,15940,37,
12/25/2017 0:00,,,,,43,
12/22/2017 0:00,15740,15740,12375,14250,43,
12/21/2017 0:00,16395,17120,15320,15450,29,
12/20/2017 0:00,17170,18210,16575,17150,22,
12/19/2017 0:00,19310,19310,18370,18285,14,
12/18/2017 0:00,20000,20000,18985,19080,5,
12/15/2017 0:00,19600,19600,19600,19600,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
