Date,Open,High,Low,Close,Open Interest,SMAVG (15)
3/29/2018 0:00,7885,7995,7345,7390,,
3/28/2018 0:00,8010,8100,7735,7875,374,1107
3/27/2018 0:00,7880,8270,7760,7895,494,1179
3/26/2018 0:00,8650,8650,7840,7910,742,1243
3/23/2018 0:00,8650,8770,8270,8615,1012,1292
3/22/2018 0:00,8905,9095,8500,8630,1039,1313
3/21/2018 0:00,8990,9185,8775,8890,1130,1334
3/20/2018 0:00,8420,9025,8320,8945,1170,1351
3/19/2018 0:00,8275,8720,8100,8400,1246,1371
3/16/2018 0:00,8340,8640,7885,8555,1274,1384
3/15/2018 0:00,8005,8450,7700,8235,1251,1393
3/14/2018 0:00,8905,9395,8185,8275,1268,1395
3/13/2018 0:00,9165,9515,8825,9070,1361,1393
3/12/2018 0:00,9490,9940,8735,8910,1395,1368
3/9/2018 0:00,9350,9445,8390,9015,1436,1325
3/8/2018 0:00,9970,10100,9105,9400,1410,1280
3/7/2018 0:00,10735,10880,9385,9790,1460,1230
3/6/2018 0:00,11595,11655,10570,10650,1449,1171
3/5/2018 0:00,11350,11700,11340,11615,1479,1110
3/2/2018 0:00,11035,11215,10760,11060,1332,1048
3/1/2018 0:00,10450,11100,10220,11065,1353,993
2/28/2018 0:00,10665,11005,10330,10645,1387,937
2/27/2018 0:00,10285,10875,10100,10660,1469,877
2/26/2018 0:00,9680,10390,9270,10250,1441,809
2/23/2018 0:00,9880,10340,9530,9950,1407,746
2/22/2018 0:00,10500,10865,9760,10095,1284,683
2/21/2018 0:00,11220,11280,10260,10370,1234,625
2/20/2018 0:00,10500,11785,10390,11750,979,569
2/19/2018 0:00,,,,,756,530
2/16/2018 0:00,10095,10335,9790,10070,756,505
2/15/2018 0:00,9450,10220,9450,10135,666,479
2/14/2018 0:00,8520,9440,8520,9350,570,461
2/13/2018 0:00,9005,9005,8400,8730,541,448
2/12/2018 0:00,8510,8870,8135,8885,541,435
2/9/2018 0:00,8265,8755,7720,8600,506,421
2/8/2018 0:00,7765,8605,7750,8315,513,409
2/7/2018 0:00,7645,8465,7250,8205,488,396
2/6/2018 0:00,6990,7885,5980,7540,459,384
2/5/2018 0:00,8260,8280,6865,7230,488,371
2/2/2018 0:00,8770,9055,7750,8580,461,356
2/1/2018 0:00,10105,10105,8505,9085,414,343
1/31/2018 0:00,9980,10195,9495,10010,403,333
1/30/2018 0:00,11120,11120,9725,9990,382,324
1/29/2018 0:00,11780,11820,11085,11215,381,315
1/26/2018 0:00,11230,11550,10300,10985,376,304
1/25/2018 0:00,11260,11710,10900,11250,386,293
1/24/2018 0:00,11130,11450,10550,11195,380,280
1/23/2018 0:00,10725,11400,9990,11185,353,266
1/22/2018 0:00,11420,11745,10225,10425,325,253
1/19/2018 0:00,11200,12160,11175,11485,331,241
1/18/2018 0:00,11145,12165,11140,11895,312,227
1/17/2018 0:00,11200,11820,9375,11040,310,214
1/16/2018 0:00,13700,14270,11200,11220,265,199
1/12/2018 0:00,13390,13965,13365,13975,267,188
1/11/2018 0:00,14780,14890,12830,13425,260,175
1/10/2018 0:00,14530,14800,13705,14530,258,161
1/9/2018 0:00,15260,15390,14405,14855,270,145
1/8/2018 0:00,16415,16415,14150,15030,246,127
1/5/2018 0:00,15250,16780,15140,16660,228,
1/4/2018 0:00,15475,15475,14570,15050,203,
1/3/2018 0:00,14930,15450,14915,15110,186,
1/2/2018 0:00,13930,15360,13180,15060,173,
12/29/2017 0:00,14205,15120,14205,14535,160,
12/28/2017 0:00,15515,15525,13565,13970,146,
12/27/2017 0:00,16060,16770,14805,14940,120,
12/26/2017 0:00,15000,16315,14720,16035,116,
12/25/2017 0:00,,,,,94,
12/22/2017 0:00,15695,15695,12525,14415,94,
12/21/2017 0:00,16680,17600,15530,15595,77,
12/20/2017 0:00,18280,18445,16805,17300,38,
12/19/2017 0:00,19300,19300,17990,18415,17,
