Date,Open,High,Low,Close,Open Interest,SMAVG (15)
6/1/2018 0:00,7565,7660,7420,7470,,
5/31/2018 0:00,7645,7690,7605,7600,76,59
5/30/2018 0:00,7535,7630,7435,7375,77,58
5/29/2018 0:00,7460,7595,7145,7540,85,56
5/28/2018 0:00,,,,,67,54
5/25/2018 0:00,7690,7690,7450,7480,67,54
5/24/2018 0:00,7490,7650,7490,7645,62,52
5/23/2018 0:00,7950,7950,7530,7655,60,50
5/22/2018 0:00,8270,8270,8180,8250,55,48
5/21/2018 0:00,8650,8650,8600,8440,51,47
5/18/2018 0:00,8100,8200,8100,8295,50,45
5/17/2018 0:00,8335,8335,8260,8250,48,44
5/16/2018 0:00,8295,8455,8290,8360,47,42
5/15/2018 0:00,8900,8900,8540,8625,46,41
5/14/2018 0:00,8830,8830,8435,8845,43,40
5/11/2018 0:00,8995,8995,8650,8730,54,38
5/10/2018 0:00,9370,9370,9370,9200,54,36
5/9/2018 0:00,9345,9450,9345,9425,53,33
5/8/2018 0:00,9215,9250,9200,9330,51,31
5/7/2018 0:00,9730,9885,9480,9620,63,28
5/4/2018 0:00,9815,9830,9715,9775,43,24
5/3/2018 0:00,9425,9825,9425,9770,36,22
5/2/2018 0:00,9185,9185,9185,9185,31,20
5/1/2018 0:00,9015,9015,9015,9015,31,
4/30/2018 0:00,9395,9395,9245,9380,31,
4/27/2018 0:00,9240,9240,9240,9135,27,
4/26/2018 0:00,8985,8985,8975,8930,26,
4/25/2018 0:00,9785,9785,9105,9050,26,
4/24/2018 0:00,9100,9295,9100,9510,26,
4/23/2018 0:00,8710,9005,8710,8895,22,
4/20/2018 0:00,8330,8550,8330,8565,18,
4/19/2018 0:00,8270,8325,8255,8290,14,
4/18/2018 0:00,8170,8170,8170,8140,14,
4/17/2018 0:00,8175,8175,7900,7890,10,
4/16/2018 0:00,8230,8230,8025,8010,10,
4/13/2018 0:00,8160,8160,8145,8170,5,
4/12/2018 0:00,7795,7825,7795,7775,4,
4/11/2018 0:00,6875,6875,6875,6875,,
4/10/2018 0:00,6800,6800,6800,6800,,
4/9/2018 0:00,6635,6635,6635,6635,,
4/6/2018 0:00,6635,6635,6635,6635,,
4/5/2018 0:00,6770,6770,6770,6770,,
4/4/2018 0:00,6880,6880,6880,6880,,
4/3/2018 0:00,7480,7480,7480,7480,,
4/2/2018 0:00,7000,7000,7000,7000,,
3/29/2018 0:00,7355,7355,7355,7355,,
3/28/2018 0:00,7915,7915,7915,7915,,
3/27/2018 0:00,7925,7925,7925,7925,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
